title	type	url_slug	venue	date	location	talk_url	description
Representing literary characters and their attributes in an ontology	Talk	talk-1	JOWO workshop on Ontologies for the Digital Humanities	2019-09	Graz, Austria		Presented a sketch of an ontology for literary characters for the digital humanities
Can ontologies help to solve the crisis in mental health research? 	Talk	talk-2	Ontology for Precision Medicine Workshop 	2019-02	Orlando FL, USA		Presented an overview of the ways in which ontologies and data science have the potential to solve the crisis in mental health research
Software engineering best practices	Talk	talk-3	Metabolomics Conference	2014-06	Tsuruoka, Japan		Guidelines for writing software for research applications
The Mental Functioning ontologies and annotation knowledge base	Talk	talk-4	iPsych consortium annual research meeting  2013-11	Copenhagen, Denmark		Presented the Mental Functioning suite of ontologies and their associated annotations for mental health research
